county,countyfp,lon,lat,ave_death_2004,smat_2004,ave_death_2005,smat_2005,ave_death_2006,smat_2006,ave_death_2007,smat_2007,ave_death_2008,smat_2008,ave_death_2009,smat_2009,ave_death_2010,smat_2010,ave_death_2011,smat_2011,ave_death_2012,smat_2012,ave_death_2013,smat_2013,ave_death_2014,smat_2014,ave_death_2015,smat_2015,ave_death_2016,smat_2016
Adair County,1,-85.28063158,37.10416698,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1,14.95,1,16.95,1,16.95,1,18.95,0
Adams County,1,-83.47203007,38.84561491,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,24.95,1,26.95,2,28.95,2
Barbour County,1,-80.00301852,39.13295009,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0
Allen County,3,-86.19041643,36.75124854,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0
Allen County,3,-84.10579178,40.7715398,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0
Berkeley County,3,-78.02751432,39.46406867,12.95,1,14.95,1,14.95,1,16.95,3,16.95,3,18.95,3,18.95,4,20.95,4,22.95,4,22.95,4,24.95,3,26.95,4,28.95,4
Anderson County,5,-84.99099219,38.00391588,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0
Ashland County,5,-82.27068611,40.84601263,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,1,6.95,1,8.95,1,8.95,0,8.95,0,10.95,0,10.95,0
Boone County,5,-81.71120724,38.02298972,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,1,30,1,30,1,30,1,30,1
Ballard County,7,-80.74830211,41.70755354,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0
Ashtabula County,7,-88.99925805,37.05848009,8.95,0,8.95,0,8.95,0,8.95,1,10.95,1,10.95,1,10.95,1,12.95,2,12.95,2,14.95,2,14.95,2,14.95,2,16.95,2
Braxton County,7,-80.71924905,38.69986197,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1,16.95,1,18.95,0,18.95,0
Barren County,9,-82.04520574,39.33388841,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0
Athens County,9,-85.93366463,36.96558432,10.95,0,10.95,0,10.95,0,12.95,1,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,1,20.95,1,20.95,1
Brooke County,9,-80.57645222,40.27386893,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0
Bath County,11,-84.22172893,40.56091796,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,1,30,1,30,1,30,1
Auglaize County,11,-83.74267966,38.14495259,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0
Cabell County,11,-82.2417122,38.42030603,20.95,0,20.95,1,22.95,1,24.95,2,26.95,2,26.95,3,28.95,3,30,2,30,2,30,2,30,4,30,4,30,4
Bell County,13,-83.67408169,36.73064727,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
Belmont County,13,-80.988485,40.01582732,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0
Calhoun County,13,-81.11757813,38.84453263,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0
Boone County,15,-84.7280137,38.96995659,10.95,0,10.95,0,10.95,0,12.95,1,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,1
Brown County,15,-83.86742632,38.93400719,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,1,26.95,1,28.95,1,30,1
Clay County,15,-81.0750742,38.46252311,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0
Bourbon County,17,-84.21716421,38.20673845,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1,14.95,1,16.95,1,16.95,1,18.95,1,18.95,1,20.95,0,22.95,0
Butler County,17,-84.5755717,39.43862674,10.95,0,12.95,0,12.95,0,12.95,3,14.95,3,14.95,4,16.95,4,16.95,6,18.95,5,18.95,6,20.95,5,22.95,5,22.95,6
Doddridge County,17,-80.70697215,39.26917466,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0,22.95,0
Boyd County,19,-82.68777935,38.3595602,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,1,24.95,2,26.95,1,26.95,2,28.95,5,30,5,30,5,30,5
Carroll County,19,-81.08971693,40.57957773,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0
Fayette County,19,-81.08115795,38.02877251,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,26.95,1,28.95,1,30,1,30,1
Boyle County,21,-84.86683897,37.62433612,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1,14.95,1,16.95,1,18.95,2,18.95,0,20.95,2
Champaign County,21,-83.76949579,40.13767516,6.95,0,6.95,0,8.95,0,8.95,1,8.95,1,10.95,1,10.95,1,10.95,1,12.95,1,12.95,1,12.95,1,14.95,1,14.95,1
Gilmer County,21,-80.85706379,38.9240511,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0
Bracken County,23,-84.09014346,38.68879674,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,20.95,1
Clark County,23,-83.78390756,39.91677672,12.95,0,12.95,0,14.95,0,14.95,3,16.95,3,16.95,3,18.95,1,18.95,3,20.95,4,20.95,4,22.95,3,24.95,3,24.95,3
Grant County,23,-79.19559528,39.10513554,2.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0
Breathitt County,25,-83.32406119,37.52161582,22.95,0,24.95,0,26.95,0,28.95,1,30,2,30,2,30,0,30,0,30,0,30,1,30,0,30,0,30,0
Clermont County,25,-84.15183443,39.04748009,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,1,16.95,2,18.95,2,18.95,2,20.95,2,20.95,2,22.95,2,24.95,3
Greenbrier County,25,-80.45299,37.94695817,12.95,0,12.95,0,14.95,0,14.95,1,16.95,1,16.95,1,18.95,1,20.95,1,20.95,1,22.95,1,24.95,1,24.95,2,26.95,2
Breckinridge County,27,-86.42933787,37.77338912,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0
Clinton County,27,-83.80836878,39.41498202,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,24.95,1,26.95,1
Hampshire County,27,-78.6141129,39.31707459,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0
Bullitt County,29,-85.69585986,37.97007356,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0
Columbiana County,29,-80.77719636,40.76842513,8.95,0,8.95,0,8.95,0,10.95,1,10.95,0,10.95,2,12.95,2,12.95,3,12.95,2,14.95,4,14.95,4,16.95,3,16.95,4
Hancock County,29,-80.5738998,40.52186151,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,0,30,0,30,2
Butler County,31,-86.68162677,37.20728384,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,1,20.95,0,22.95,0,22.95,0
Coshocton County,31,-81.92001732,40.30166177,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0
Hardy County,31,-78.85794856,39.00753495,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0
Caldwell County,33,-87.86786423,37.14540735,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0
Crawford County,33,-82.91977713,40.85076916,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0
Harrison County,33,-80.37985917,39.2835247,12.95,1,12.95,1,14.95,0,14.95,0,16.95,1,16.95,1,18.95,1,18.95,1,20.95,1,20.95,1,22.95,2,24.95,2,24.95,3
Calloway County,35,-88.27225541,36.62101262,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0
Cuyahoga County,35,-81.6586482,41.42444123,10.95,3,10.95,3,10.95,4,12.95,12,12.95,13,12.95,14,14.95,15,14.95,14,16.95,11,16.95,10,18.95,10,18.95,11,20.95,18
Jackson County,35,-81.67479816,38.83446892,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0
Campbell County,37,-84.37951598,38.94651337,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,1,30,1,30,1,30,1,30,1
Darke County,37,-84.6194024,40.13326856,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0
Jefferson County,37,-77.86279698,39.30757773,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,1,24.95,1
Carlisle County,39,-88.97098112,36.8531999,2.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,14.95,0,16.95,0,18.95,0
Defiance County,39,-84.49047484,41.32391658,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,1,8.95,1,8.95,1,10.95,1,10.95,1,10.95,1,12.95,1
Kanawha County,39,-81.52809002,38.33655838,16.95,0,16.95,1,18.95,1,18.95,1,20.95,1,20.95,3,22.95,3,24.95,4,26.95,4,26.95,5,28.95,5,30,5,30,6
Carroll County,41,-85.12354683,38.66784979,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,1,24.95,1,26.95,2,28.95,1,30,0
Delaware County,41,-83.00487421,40.2783973,4.95,0,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,1,6.95,1,6.95,1,8.95,1,8.95,1,8.95,1
Lewis County,41,-80.50217356,38.99586594,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0
Carter County,43,-83.04953683,38.318186,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,1,26.95,1,28.95,1,30,1
Erie County,43,-82.61966334,41.36466173,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,1,12.95,0,12.95,1
Lincoln County,43,-82.0703922,38.17534995,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,26.95,0,28.95,0,30,0,30,0,30,0
Casey County,45,-84.92833294,37.32230286,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0
Fairfield County,45,-82.63057781,39.75163253,4.95,0,6.95,0,6.95,0,6.95,1,6.95,1,8.95,1,8.95,1,8.95,1,8.95,1,10.95,1,10.95,1,10.95,1,12.95,1
Logan County,45,-81.93533063,37.83153306,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,1,30,1,30,1,30,2,30,1,30,1,30,1
Christian County,47,-87.49045647,36.89417139,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,6.95,1,8.95,2,8.95,1,8.95,1,8.95,2,10.95,2
Fayette County,47,-83.45608722,39.55987567,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,1
McDowell County,47,-81.65360664,37.37845618,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,30,0,30,0
Clark County,49,-84.14741935,37.97082112,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,26.95,0,28.95,0,30,0,30,0,30,0
Franklin County,49,-83.00929599,39.96954223,8.95,1,10.95,1,10.95,1,10.95,6,12.95,5,12.95,5,14.95,4,14.95,5,14.95,6,16.95,8,16.95,10,18.95,8,18.95,12
Marion County,49,-80.24337704,39.50999295,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,1,16.95,1
Clay County,51,-83.71466116,37.15970857,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0
Fulton County,51,-84.13008147,41.60181619,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,2,10.95,2,10.95,2,10.95,1
Marshall County,51,-80.66340336,39.86059471,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,1,18.95,1,18.95,0,20.95,1
Clinton County,53,-85.13617384,36.72744162,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
Gallia County,53,-82.31693055,38.82472879,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0
Mason County,53,-82.02656338,38.76972107,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,1,26.95,1,26.95,1,28.95,1,30,0
Crittenden County,55,-88.09719619,37.35272358,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0
Geauga County,55,-81.1786628,41.49952524,6.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,1,12.95,1,12.95,2
Mercer County,55,-81.11144178,37.40551582,24.95,0,26.95,0,26.95,0,28.95,1,30,0,30,0,30,0,30,0,30,0,30,1,30,1,30,2,30,2
Cumberland County,57,-85.38851218,36.78659786,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0
Greene County,57,-83.88988996,39.69146417,10.95,0,12.95,0,12.95,0,12.95,2,14.95,1,14.95,1,16.95,2,16.95,3,18.95,3,18.95,2,20.95,4,20.95,4,22.95,4
Mineral County,57,-78.94382506,39.41465884,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0
Daviess County,59,-87.08722925,37.73184808,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,1,14.95,1,14.95,1,16.95,0,16.95,1
Guernsey County,59,-81.49425575,40.05203354,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,1
Mingo County,59,-82.13463302,37.72645342,26.95,0,28.95,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,2,30,2,30,2,30,3
Edmonson County,61,-86.23842216,37.2087986,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0
Hamilton County,61,-84.54277566,39.19553877,10.95,2,12.95,2,12.95,2,12.95,4,14.95,4,14.95,7,16.95,7,16.95,7,18.95,9,18.95,14,20.95,19,22.95,16,22.95,21
Monongalia County,61,-80.04655643,39.63032139,6.95,0,6.95,0,6.95,0,6.95,0,8.95,2,8.95,3,8.95,3,8.95,2,10.95,2,10.95,3,10.95,3,12.95,3,12.95,3
Elliott County,63,-83.09761714,38.11790315,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,26.95,1,28.95,1,30,1,30,1
Hancock County,63,-83.66653913,41.00192155,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,1,8.95,0,10.95,1,10.95,0
Monroe County,63,-80.55049863,37.56038407,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,1
Estill County,65,-83.96431192,37.69244321,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0
Hardin County,65,-83.65942528,40.66151714,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0
Morgan County,65,-78.25780102,39.56043939,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,26.95,0,28.95,1
Fayette County,67,-84.45871951,38.04231441,10.95,2,10.95,1,12.95,1,12.95,2,14.95,3,14.95,3,14.95,3,16.95,4,16.95,3,18.95,6,20.95,4,20.95,5,22.95,5
Harrison County,67,-81.09112403,40.29382556,2.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0
Nicholas County,67,-80.79939463,38.2917028,10.95,0,12.95,0,12.95,0,14.95,1,14.95,1,16.95,1,16.95,1,18.95,1,20.95,1,22.95,1,22.95,1,24.95,1,26.95,1
Fleming County,69,-83.69664713,38.37012032,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,24.95,1
Henry County,69,-84.06822715,41.33387936,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,1,8.95,1,10.95,1,10.95,0
Ohio County,69,-80.61891674,40.09694859,8.95,0,10.95,1,10.95,1,10.95,1,12.95,1,12.95,1,12.95,1,14.95,1,14.95,2,16.95,2,16.95,2,18.95,2,18.95,2
Floyd County,71,-82.7457045,37.55711787,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,30,1,30,1,30,1
Highland County,71,-83.60098304,39.1847145,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,1,14.95,1,14.95,0,16.95,0,16.95,0,18.95,1,20.95,1,20.95,2
Pendleton County,71,-79.35089252,38.68074814,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,20.95,0
Franklin County,73,-84.87705176,38.23916779,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,1,12.95,1,14.95,2,14.95,1,16.95,1
Hocking County,73,-82.47925873,39.49706418,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0
Pleasants County,73,-81.16060776,39.37095559,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,20.95,0,22.95,0
Fulton County,75,-89.18736097,36.55404248,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0
Holmes County,75,-81.92934147,40.56120504,1,0,1,0,1,0,2.95,0,2.95,0,2.95,1,2.95,0,2.95,0,2.95,0,4.95,0,4.95,0,4.95,0,4.95,0
Pocahontas County,75,-80.00778603,38.33178326,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,1,22.95,1,24.95,1,26.95,1,28.95,1,30,1,30,1,30,1
Gallatin County,77,-84.85928444,38.7568447,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0
Huron County,77,-82.59840619,41.14615235,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1
Preston County,77,-79.6681617,39.46932608,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0
Garrard County,79,-84.53766287,37.639598,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0
Jackson County,79,-82.61841764,39.01965714,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,1,24.95,1,26.95,1
Putnam County,79,-81.90899011,38.50861726,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1,16.95,1,16.95,1,18.95,0,18.95,0,20.95,0
Grant County,81,-84.62458411,38.64881355,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0
Jefferson County,81,-80.76100271,40.38501292,14.95,0,14.95,0,16.95,0,16.95,0,18.95,1,18.95,1,20.95,1,22.95,2,22.95,2,24.95,2,26.95,2,28.95,1,28.95,2
Raleigh County,81,-81.24864941,37.77136461,20.95,0,20.95,0,22.95,1,24.95,1,24.95,1,26.95,1,28.95,1,30,1,30,2,30,2,30,2,30,2,30,2
Graves County,83,-88.65120016,36.72310326,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0
Knox County,83,-82.42151397,40.39875979,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0
Randolph County,83,-79.87579553,38.77472982,8.95,0,8.95,0,8.95,0,10.95,0,10.95,1,10.95,1,12.95,1,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,16.95,0
Grayson County,85,-86.34391206,37.46081297,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0
Lake County,85,-81.23732524,41.69656187,8.95,0,8.95,0,8.95,0,10.95,3,10.95,2,10.95,2,12.95,2,12.95,3,12.95,2,14.95,2,14.95,4,16.95,4,16.95,6
Ritchie County,85,-81.06297843,39.17825851,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0
Green County,87,-85.55312219,37.26403662,4.95,0,4.95,0,4.95,0,6.95,2,6.95,2,6.95,1,8.95,1,8.95,1,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0
