county,lon,lat,smat_2004,smat_2005,smat_2006,smat_2007,smat_2008,smat_2009,smat_2010,smat_2011,smat_2012,smat_2013,smat_2014,smat_2015,smat_2016
Adair County,-85.28063,37.10417,0,0,0,0,0,0,0,0,1,1,1,1,0
Allen County,-84.10579,40.77154,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson County,-82.27069,40.84601,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballard County,-80.7483,41.70755,0,0,0,0,0,0,0,0,0,0,0,0,0
Barren County,-85.93366,36.96558,0,0,0,0,0,0,0,0,0,0,0,0,0
Bath County,-84.22173,40.56092,0,0,0,0,0,0,0,0,0,1,1,1,1
Bell County,-81.11758,38.84453,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone County,-83.86743,38.93401,0,0,0,1,0,0,0,0,0,0,0,0,1
Bourbon County,-84.57557,39.43863,0,0,0,0,0,1,1,1,1,1,1,0,0
Boyd County,-82.68778,38.35956,0,0,0,0,0,1,2,1,2,5,5,5,5
Boyle County,-80.85706,38.92405,0,0,0,0,0,0,0,1,1,1,2,0,2
Bracken County,-79.1956,39.10514,0,0,0,0,0,0,0,0,0,0,0,0,1
Breathitt County,-84.15183,39.04748,0,0,0,1,2,2,0,0,0,1,0,0,0
Breckinridge County,-83.80837,39.41498,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullitt County,-80.5739,40.52186,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler County,-78.85795,39.00753,0,0,0,0,0,0,0,0,0,1,0,0,0
Caldwell County,-82.91978,40.85077,0,0,0,0,0,0,0,0,0,0,0,0,0
Calloway County,-81.6748,38.83447,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell County,-84.37952,38.94651,0,0,0,0,0,0,0,0,1,1,1,1,1
Carlisle County,-88.97098,36.8532,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll County,-83.00487,40.2784,0,0,0,0,0,0,0,0,1,1,2,1,0
Carter County,-82.07039,38.17535,0,0,0,0,0,0,0,0,0,1,1,1,1
Casey County,-82.63058,39.75163,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian County,-83.45609,39.55988,0,0,0,0,0,0,0,1,2,1,1,2,2
Clark County,-83.0093,39.96954,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County,-83.71466,37.15971,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton County,-82.02656,38.76972,0,0,0,0,0,0,0,0,0,0,0,0,0
Crittenden County,-81.17866,41.49953,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland County,-85.38851,36.7866,0,0,0,0,0,0,0,0,0,0,0,0,0
Daviess County,-87.08723,37.73185,0,0,0,0,0,0,0,0,1,1,1,0,1
Edmonson County,-86.23842,37.2088,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliott County,-80.5505,37.56038,0,0,0,0,0,0,0,0,0,1,1,1,1
Estill County,-83.65943,40.66152,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette County,-81.09112,40.29383,2,1,1,2,3,3,3,4,3,6,4,5,5
Fleming County,-80.61892,40.09695,0,0,0,0,0,0,0,0,0,0,0,0,1
Floyd County,-83.60098,39.18471,0,0,0,0,0,0,0,0,0,1,1,1,1
Franklin County,-84.87705,38.23917,0,0,0,0,0,0,0,0,1,1,2,1,1
Fulton County,-81.92934,40.56121,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallatin County,-79.66816,39.46933,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrard County,-81.90899,38.50862,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant County,-80.761,40.38501,0,0,0,0,0,0,0,0,0,0,0,0,0
Graves County,-88.6512,36.7231,0,0,0,0,0,0,0,0,0,0,0,0,0
Grayson County,-81.06298,39.17826,0,0,0,0,0,0,0,0,0,0,0,0,0
Green County,-82.53678,38.59842,0,0,0,2,2,1,1,1,0,0,0,0,0
Greenup County,-82.92235,38.54569,0,0,0,0,0,0,0,0,0,0,1,1,1
Hancock County,-80.04619,39.33598,0,0,0,0,0,0,0,0,0,2,1,1,0
Hardin County,-82.15116,41.2956,0,0,0,2,2,3,4,3,4,3,3,3,4
Harlan County,-80.88484,39.46528,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison County,-80.23344,38.89784,0,0,0,0,0,0,1,0,0,0,0,0,0
Hart County,-80.77631,41.01465,0,0,0,1,0,0,0,0,0,0,0,0,0
Henderson County,-83.16087,40.58719,0,0,0,0,0,0,0,0,0,1,0,0,0
Henry County,-80.63911,39.60528,0,0,0,0,0,0,0,0,0,0,0,0,0
Hickman County,-81.37869,39.02245,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins County,-84.62937,40.53995,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County,-84.22885,40.05346,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,-85.65946,38.18713,2,2,3,5,4,2,3,4,5,3,6,11,10
Jessamine County,-84.29068,39.75458,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson County,-81.85267,39.62037,0,0,0,1,1,1,1,1,1,0,0,0,0
Kenton County,-84.53334,38.9334,0,0,0,0,0,0,0,0,1,1,2,2,3
Knott County,-81.94437,39.96544,0,0,0,1,1,1,0,0,0,1,0,0,0
Knox County,-81.45557,39.76594,0,0,0,0,0,0,0,0,1,1,1,1,1
Larue County,-83.14004,41.53772,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurel County,-84.58021,41.11662,0,0,0,0,0,0,0,1,0,1,0,0,0
Lawrence County,-82.23613,39.73715,0,0,0,0,0,0,0,0,0,1,2,1,3
Lee County,-83.0244,39.64193,0,0,0,1,1,1,0,0,0,1,0,0,0
Leslie County,-83.06677,39.07732,0,0,0,1,1,1,0,0,0,1,0,0,0
Letcher County,-81.1974,41.16768,0,0,0,1,1,1,0,0,0,1,0,0,0
Lewis County,-84.64798,39.74153,0,0,0,0,0,0,0,0,0,0,0,0,1
Lincoln County,-84.66081,37.45535,0,0,0,0,0,0,0,0,0,0,0,0,0
Livingston County,-88.35372,37.20963,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan County,-83.05702,39.33759,0,0,0,0,0,0,0,0,0,1,1,0,0
Lyon County,-83.14544,41.3568,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison County,-81.36563,40.81388,0,0,0,0,0,0,0,0,0,0,0,0,0
Magoffin County,-81.53217,41.12598,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion County,-85.26964,37.55254,0,0,0,0,0,0,0,0,0,1,1,1,1
Marshall County,-88.32935,36.88342,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin County,-83.37157,40.29941,0,0,0,0,0,0,0,0,0,0,0,0,1
Mason County,-84.58612,40.85541,0,0,0,0,0,0,0,0,0,0,0,0,1
McCracken County,-88.71265,37.05396,1,1,1,1,1,1,1,1,2,1,1,0,1
McCreary County,-83.12766,41.12386,0,0,0,0,0,0,0,0,0,0,0,0,0
McLean County,-84.20475,40.33155,0,0,0,0,0,0,0,0,0,0,0,0,0
Meade County,-86.21695,37.96962,0,0,0,0,0,0,0,0,0,0,0,0,0
Menifee County,-84.16677,39.42756,0,0,0,0,0,0,0,0,0,1,1,1,1
Mercer County,-81.49529,39.45532,0,0,0,0,0,0,0,0,0,0,0,0,0
Metcalfe County,-85.62923,36.99053,0,0,0,1,0,0,0,0,0,0,0,0,0
Monroe County,-84.58816,41.56032,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery County,-83.623,41.36168,0,0,0,0,0,0,0,0,0,1,1,1,1
Morgan County,-83.25888,37.92229,0,0,0,0,0,0,0,0,0,1,1,1,1
Muhlenberg County,-87.14203,37.21579,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson County,-85.46596,37.80515,0,0,0,0,0,0,0,0,0,1,1,1,1
Nicholas County,-84.0153,38.33555,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio County,-86.84888,37.47819,0,0,0,0,0,0,0,0,0,0,0,0,0
Oldham County,-85.44854,38.39948,0,0,0,0,0,0,0,0,0,0,0,0,1
Owen County,-84.8281,38.51966,0,0,0,0,0,0,0,0,0,0,0,0,0
Owsley County,-83.6831,37.41921,0,0,0,0,0,0,0,0,0,0,0,0,0
Pendleton County,-84.36025,38.69564,0,0,0,0,0,0,0,0,0,0,0,1,1
Perry County,-83.22148,37.2443,1,0,0,3,2,3,1,1,1,2,2,1,1
Pike County,-82.39577,37.4691,0,0,0,0,0,2,2,2,2,1,1,1,1
Powell County,-83.82373,37.83113,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski County,-84.57725,37.10387,0,0,0,0,0,0,0,0,0,0,0,0,1
Robertson County,-84.05204,38.51882,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockcastle County,-84.31601,37.36505,0,0,0,0,0,0,0,0,0,0,0,0,0
Rowan County,-83.4211,38.19626,1,0,1,0,0,0,0,0,1,2,2,2,1
Russell County,-85.05865,36.99109,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott County,-84.58391,38.29155,0,0,0,0,0,0,0,0,0,1,0,0,0
Shelby County,-85.19478,38.21545,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson County,-86.58224,36.74195,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer County,-85.32783,38.03252,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor County,-85.32794,37.36647,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd County,-87.17924,36.83568,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigg County,-87.87335,36.80636,0,0,0,0,0,0,0,0,0,0,0,0,0
Trimble County,-85.33749,38.61303,0,0,0,0,0,0,0,0,0,0,0,0,0
Union County,-87.94534,37.65846,0,0,0,0,0,0,0,0,0,1,0,0,0
Warren County,-86.42381,36.99357,1,1,0,0,0,0,0,0,1,1,2,1,1
Washington County,-85.17477,37.75337,0,0,0,0,0,0,0,0,0,0,0,1,2
Wayne County,-84.82862,36.80128,0,0,0,0,1,0,0,0,0,0,0,0,0
Webster County,-87.68316,37.51844,0,0,0,0,0,0,0,0,0,1,0,0,0
Whitley County,-84.14518,36.75809,1,1,1,2,2,2,2,1,1,1,0,1,2
Wolfe County,-83.49316,37.73932,0,0,0,1,1,1,0,0,0,1,0,0,0
Woodford County,-84.74358,38.04238,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams County,-85.28063,37.10417,0,0,0,0,0,0,0,0,0,0,1,2,2
Allen County,-84.10579,40.77154,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashland County,-82.27069,40.84601,0,0,0,0,0,0,1,1,1,0,0,0,0
Ashtabula County,-80.7483,41.70755,0,0,0,1,1,1,1,2,2,2,2,2,2
Athens County,-85.93366,36.96558,0,0,0,1,0,0,0,0,0,0,1,1,1
Auglaize County,-84.22173,40.56092,0,0,0,0,0,0,0,0,0,0,0,0,0
Belmont County,-81.11758,38.84453,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown County,-83.86743,38.93401,0,0,0,0,0,0,0,0,0,1,1,1,1
Butler County,-84.57557,39.43863,0,0,0,3,3,4,4,6,5,6,5,5,6
Carroll County,-82.68778,38.35956,0,0,0,0,0,0,0,0,0,0,0,0,0
Champaign County,-80.85706,38.92405,0,0,0,1,1,1,1,1,1,1,1,1,1
Clark County,-79.1956,39.10514,0,0,0,3,3,3,1,3,4,4,3,3,3
Clermont County,-84.15183,39.04748,0,0,0,0,0,1,2,2,2,2,2,2,3
Clinton County,-83.80837,39.41498,0,0,0,0,0,0,0,0,0,0,0,1,1
Columbiana County,-80.5739,40.52186,0,0,0,1,0,2,2,3,2,4,4,3,4
Coshocton County,-78.85795,39.00753,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford County,-82.91978,40.85077,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuyahoga County,-81.6748,38.83447,3,3,4,12,13,14,15,14,11,10,10,11,18
Darke County,-84.37952,38.94651,0,0,0,0,0,0,0,0,0,0,0,0,0
Defiance County,-88.97098,36.8532,0,0,0,0,0,0,1,1,1,1,1,1,1
Delaware County,-83.00487,40.2784,0,0,0,0,0,0,0,1,1,1,1,1,1
Erie County,-82.07039,38.17535,0,0,0,0,0,0,0,0,0,0,1,0,1
Fairfield County,-82.63058,39.75163,0,0,0,1,1,1,1,1,1,1,1,1,1
Fayette County,-83.45609,39.55988,0,0,0,0,0,0,0,0,0,0,0,0,1
Franklin County,-83.0093,39.96954,1,1,1,6,5,5,4,5,6,8,10,8,12
Fulton County,-83.71466,37.15971,0,0,0,0,0,0,0,0,0,2,2,2,1
Gallia County,-82.02656,38.76972,0,0,0,0,0,0,0,0,0,0,0,0,0
Geauga County,-81.17866,41.49953,0,0,0,0,0,0,0,0,0,0,1,1,2
Greene County,-85.38851,36.7866,0,0,0,2,1,1,2,3,3,2,4,4,4
Guernsey County,-87.08723,37.73185,0,0,0,0,0,0,0,0,0,0,0,0,1
Hamilton County,-86.23842,37.2088,2,2,2,4,4,7,7,7,9,14,19,16,21
Hancock County,-80.5505,37.56038,0,0,0,0,0,0,0,0,0,1,0,1,0
Hardin County,-83.65943,40.66152,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison County,-81.09112,40.29383,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry County,-80.61892,40.09695,0,0,0,0,0,0,0,0,0,1,1,1,0
Highland County,-83.60098,39.18471,0,0,0,0,0,1,1,0,0,0,1,1,2
Hocking County,-84.87705,38.23917,0,0,0,0,0,0,0,0,0,0,0,0,0
Holmes County,-81.92934,40.56121,0,0,0,0,0,1,0,0,0,0,0,0,0
Huron County,-79.66816,39.46933,0,0,0,0,0,0,0,0,0,0,0,0,1
Jackson County,-81.90899,38.50862,0,0,0,0,0,0,0,0,0,0,1,1,1
Jefferson County,-80.761,40.38501,0,0,0,0,1,1,1,2,2,2,2,1,2
Knox County,-88.6512,36.7231,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake County,-81.06298,39.17826,0,0,0,3,2,2,2,3,2,2,4,4,6
Lawrence County,-82.53678,38.59842,0,0,0,0,0,0,0,1,0,0,1,0,1
Licking County,-82.92235,38.54569,0,0,0,1,1,1,0,1,1,1,1,1,1
Logan County,-80.04619,39.33598,0,0,0,1,1,1,1,1,1,1,1,1,1
Lorain County,-82.15116,41.2956,0,0,0,1,0,1,1,0,1,1,2,2,4
Lucas County,-80.88484,39.46528,1,0,0,1,1,2,3,2,2,4,3,6,6
Madison County,-80.23344,38.89784,0,0,0,0,0,0,0,0,0,0,0,1,0
Mahoning County,-80.77631,41.01465,1,1,1,2,3,2,2,2,2,2,4,5,6
Marion County,-83.16087,40.58719,0,0,0,0,0,0,0,0,1,1,1,1,1
Medina County,-80.63911,39.60528,0,0,0,0,1,0,1,1,1,1,1,1,1
Meigs County,-81.37869,39.02245,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercer County,-84.62937,40.53995,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami County,-84.22885,40.05346,0,0,0,0,0,0,0,0,0,0,1,1,1
Monroe County,-85.65946,38.18713,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery County,-84.29068,39.75458,0,0,1,2,2,1,3,3,2,3,2,3,4
Morgan County,-81.85267,39.62037,0,0,0,0,0,0,0,0,0,0,0,0,0
Morrow County,-84.53334,38.9334,0,0,0,0,0,0,0,1,1,1,1,1,1
Muskingum County,-81.94437,39.96544,0,0,0,0,0,0,0,0,0,0,0,0,1
Noble County,-81.45557,39.76594,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa County,-83.14004,41.53772,0,0,0,0,0,0,0,0,0,0,0,1,0
Paulding County,-84.58021,41.11662,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry County,-82.23613,39.73715,0,0,0,0,0,0,0,0,0,0,0,0,1
Pickaway County,-83.0244,39.64193,0,0,0,0,0,0,0,0,0,0,0,1,1
Pike County,-83.06677,39.07732,0,0,0,0,0,0,0,0,0,0,1,1,1
Portage County,-81.1974,41.16768,0,0,0,0,0,0,0,0,0,0,0,0,0
Preble County,-84.64798,39.74153,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam County,-84.66081,37.45535,0,0,0,0,0,0,0,1,0,0,0,1,1
Richland County,-88.35372,37.20963,0,0,0,0,0,0,0,1,0,0,1,2,1
Ross County,-83.05702,39.33759,0,0,0,0,0,0,1,1,1,1,2,2,2
Sandusky County,-83.14544,41.3568,0,0,0,0,0,0,0,0,0,1,0,0,1
Scioto County,-88.71265,37.05396,0,0,0,0,1,1,2,1,1,0,1,1,1
Seneca County,-83.12766,41.12386,0,0,0,0,0,0,0,0,0,0,1,0,2
Shelby County,-84.20475,40.33155,0,0,0,0,0,0,0,0,0,0,0,1,1
Stark County,-81.36563,40.81388,1,2,1,2,2,2,1,1,2,1,3,4,3
Summit County,-81.53217,41.12598,1,1,1,3,4,4,4,3,3,7,7,7,8
Trumbull County,-85.26964,37.55254,0,0,0,0,0,0,0,0,0,0,1,1,1
Tuscarawas County,-88.32935,36.88342,0,0,0,0,0,0,0,0,0,0,0,0,0
Union County,-83.37157,40.29941,0,0,0,1,1,1,1,1,1,0,0,0,0
Van Wert County,-84.58612,40.85541,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinton County,-86.21695,37.96962,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren County,-84.16677,39.42756,0,0,0,0,0,0,0,0,0,0,0,3,4
Washington County,-81.49529,39.45532,0,0,0,1,1,0,0,0,0,1,1,1,1
Wayne County,-85.62923,36.99053,0,0,0,1,0,0,0,0,0,1,1,2,2
Williams County,-84.58816,41.56032,0,0,0,0,0,0,0,0,0,1,1,1,0
Wood County,-83.623,41.36168,0,0,0,0,0,0,0,0,0,0,1,2,2
Wyandot County,-83.25888,37.92229,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbour County,-85.28063,37.10417,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley County,-84.10579,40.77154,1,1,1,3,3,3,4,4,4,4,3,4,4
Boone County,-82.27069,40.84601,0,0,0,0,0,0,0,0,1,1,1,1,1
Braxton County,-80.7483,41.70755,0,0,0,0,0,0,0,0,0,1,1,0,0
Brooke County,-85.93366,36.96558,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabell County,-84.22173,40.56092,0,1,1,2,2,3,3,2,2,2,4,4,4
Calhoun County,-81.11758,38.84453,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County,-83.86743,38.93401,0,0,0,0,0,0,0,0,0,0,0,0,0
Doddridge County,-84.57557,39.43863,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette County,-82.68778,38.35956,0,0,0,0,0,0,0,0,0,1,1,1,1
Gilmer County,-80.85706,38.92405,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant County,-79.1956,39.10514,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenbrier County,-84.15183,39.04748,0,0,0,1,1,1,1,1,1,1,1,2,2
Hampshire County,-83.80837,39.41498,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock County,-80.5739,40.52186,0,0,0,0,0,0,0,0,0,0,0,0,2
Hardy County,-78.85795,39.00753,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison County,-82.91978,40.85077,1,1,0,0,1,1,1,1,1,1,2,2,3
Jackson County,-81.6748,38.83447,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,-84.37952,38.94651,0,0,0,0,0,0,0,0,0,0,0,1,1
Kanawha County,-88.97098,36.8532,0,1,1,1,1,3,3,4,4,5,5,5,6
Lewis County,-83.00487,40.2784,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County,-82.07039,38.17535,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan County,-82.63058,39.75163,0,0,0,0,0,0,1,1,1,2,1,1,1
Marion County,-83.0093,39.96954,0,0,0,0,0,0,0,0,0,0,0,1,1
Marshall County,-83.71466,37.15971,0,0,0,0,0,0,0,0,0,1,1,0,1
Mason County,-82.02656,38.76972,0,0,0,0,0,0,0,0,1,1,1,1,0
McDowell County,-83.45609,39.55988,0,0,0,0,0,0,0,0,0,0,1,0,0
Mercer County,-81.17866,41.49953,0,0,0,1,0,0,0,0,0,1,1,2,2
Mineral County,-85.38851,36.7866,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo County,-87.08723,37.73185,0,1,1,1,1,1,1,1,1,2,2,2,3
Monongalia County,-86.23842,37.2088,0,0,0,0,2,3,3,2,2,3,3,3,3
Monroe County,-80.5505,37.56038,0,0,0,0,0,0,0,0,0,0,0,0,1
Morgan County,-83.65943,40.66152,0,0,0,0,0,0,0,0,0,0,0,0,1
Nicholas County,-81.09112,40.29383,0,0,0,1,1,1,1,1,1,1,1,1,1
Ohio County,-80.61892,40.09695,0,1,1,1,1,1,1,1,2,2,2,2,2
Pendleton County,-83.60098,39.18471,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleasants County,-84.87705,38.23917,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocahontas County,-81.92934,40.56121,0,0,0,0,0,1,1,1,1,1,1,1,1
Preston County,-79.66816,39.46933,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam County,-81.90899,38.50862,0,0,0,0,0,0,0,1,1,1,0,0,0
Raleigh County,-80.761,40.38501,0,0,1,1,1,1,1,1,2,2,2,2,2
Randolph County,-88.6512,36.7231,0,0,0,0,1,1,1,0,0,0,0,0,0
Ritchie County,-81.06298,39.17826,0,0,0,0,0,0,0,0,0,0,0,0,0
Roane County,-82.53678,38.59842,0,0,0,0,0,0,0,0,0,0,0,0,0
Summers County,-82.92235,38.54569,0,0,0,0,0,0,0,0,0,1,1,0,1
Taylor County,-80.04619,39.33598,0,0,0,0,0,0,0,0,0,0,0,0,1
Tucker County,-82.15116,41.2956,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler County,-80.88484,39.46528,0,0,0,0,0,0,0,0,0,0,0,0,0
Upshur County,-80.23344,38.89784,0,0,0,0,1,1,1,0,0,0,0,0,0
Wayne County,-80.77631,41.01465,0,0,0,2,2,1,2,1,1,1,1,1,1
Webster County,-83.16087,40.58719,0,0,0,0,0,1,1,1,1,1,0,1,1
Wetzel County,-80.63911,39.60528,0,0,0,0,0,0,0,0,1,2,2,1,1
Wirt County,-81.37869,39.02245,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood County,-84.62937,40.53995,1,1,1,2,2,2,2,2,2,3,3,1,3
Wyoming County,-81.5596,37.6339,0,0,0,0,0,0,0,0,0,0,0,0,0
